navn,kategori,plattform,jurisdiksjon,bak_gateway,kilde_dato
Nesna,Kommuner,US_MICROSOFT,United States (CLOUD Act),nei,2026-06-29
Nesodden,Kommuner,US_MICROSOFT,United States (CLOUD Act),ja,2026-06-29
Nesseby,Kommuner,US_MICROSOFT,United States (CLOUD Act),nei,2026-06-29
Nissedal,Kommuner,US_MICROSOFT,United States (CLOUD Act),ja,2026-06-29
Nittedal,Kommuner,US_MICROSOFT,United States (CLOUD Act),nei,2026-06-29
Nome,Kommuner,US_MICROSOFT,United States (CLOUD Act),ja,2026-06-29
Nord-Aurdal kommune,Kommuner,US_MICROSOFT,United States (CLOUD Act),nei,2026-06-29
Nord-Fron,Kommuner,US_MICROSOFT,United States (CLOUD Act),nei,2026-06-29
Nord-Odal,Kommuner,US_MICROSOFT,United States (CLOUD Act),nei,2026-06-29
Nordkapp,Kommuner,US_MICROSOFT,United States (CLOUD Act),nei,2026-06-29
Nordre Follo,Kommuner,US_MICROSOFT,United States (CLOUD Act),nei,2026-06-29
Nordre Land,Kommuner,US_MICROSOFT,United States (CLOUD Act),nei,2026-06-29
Nordreisa,Kommuner,US_MICROSOFT,United States (CLOUD Act),nei,2026-06-29
Nore og Uvdal,Kommuner,US_MICROSOFT,United States (CLOUD Act),nei,2026-06-29
Notodden,Kommuner,US_MICROSOFT,United States (CLOUD Act),nei,2026-06-29
Nærøysund,Kommuner,US_MICROSOFT,United States (CLOUD Act),nei,2026-06-29
Oppdal,Kommuner,US_MICROSOFT,United States (CLOUD Act),ja,2026-06-29
Orkland,Kommuner,US_MICROSOFT,United States (CLOUD Act),nei,2026-06-29
Os,Kommuner,US_MICROSOFT,United States (CLOUD Act),nei,2026-06-29
Osen,Kommuner,US_MICROSOFT,United States (CLOUD Act),nei,2026-06-29
Oslo kommune,Kommuner,US_MICROSOFT,United States (CLOUD Act),nei,2026-06-29
Osterøy,Kommuner,US_MICROSOFT,United States (CLOUD Act),nei,2026-06-29
Overhalla,Kommuner,US_MICROSOFT,United States (CLOUD Act),nei,2026-06-29
Porsanger,Kommuner,US_MICROSOFT,United States (CLOUD Act),nei,2026-06-29
Porsgrunn,Kommuner,US_MICROSOFT,United States (CLOUD Act),nei,2026-06-29
Rakkestad,Kommuner,US_MICROSOFT,United States (CLOUD Act),nei,2026-06-29
Rana,Kommuner,US_MICROSOFT,United States (CLOUD Act),nei,2026-06-29
Randaberg,Kommuner,US_MICROSOFT,United States (CLOUD Act),nei,2026-06-29
Rauma,Kommuner,US_MICROSOFT,United States (CLOUD Act),nei,2026-06-29
Rendalen,Kommuner,US_MICROSOFT,United States (CLOUD Act),nei,2026-06-29
Rennebu,Kommuner,US_MICROSOFT,United States (CLOUD Act),ja,2026-06-29
Rindal,Kommuner,US_MICROSOFT,United States (CLOUD Act),nei,2026-06-29
Ringebu,Kommuner,US_MICROSOFT,United States (CLOUD Act),nei,2026-06-29
Ringerike,Kommuner,US_MICROSOFT,United States (CLOUD Act),nei,2026-06-29
Ringsaker,Kommuner,US_MICROSOFT,United States (CLOUD Act),nei,2026-06-29
Risør,Kommuner,US_MICROSOFT,United States (CLOUD Act),nei,2026-06-29
Rollag,Kommuner,US_MICROSOFT,United States (CLOUD Act),nei,2026-06-29
Råde,Kommuner,US_MICROSOFT,United States (CLOUD Act),nei,2026-06-29
Rælingen,Kommuner,US_MICROSOFT,United States (CLOUD Act),ja,2026-06-29
Rødøy,Kommuner,US_MICROSOFT,United States (CLOUD Act),nei,2026-06-29
Røros,Kommuner,US_MICROSOFT,United States (CLOUD Act),nei,2026-06-29
Røst,Kommuner,US_MICROSOFT,United States (CLOUD Act),nei,2026-06-29
Røyrvik kommune,Kommuner,US_MICROSOFT,United States (CLOUD Act),ja,2026-06-29
Salangen,Kommuner,US_MICROSOFT,United States (CLOUD Act),nei,2026-06-29
Saltdal,Kommuner,US_MICROSOFT,United States (CLOUD Act),nei,2026-06-29
Samnanger,Kommuner,US_MICROSOFT,United States (CLOUD Act),nei,2026-06-29
Sande,Kommuner,US_MICROSOFT,United States (CLOUD Act),ja,2026-06-29
Sandefjord,Kommuner,US_MICROSOFT,United States (CLOUD Act),ja,2026-06-29
Sandnes,Kommuner,US_MICROSOFT,United States (CLOUD Act),nei,2026-06-29
Sarpsborg,Kommuner,US_MICROSOFT,United States (CLOUD Act),nei,2026-06-29
Sauda,Kommuner,US_MICROSOFT,United States (CLOUD Act),nei,2026-06-29
Sel,Kommuner,US_MICROSOFT,United States (CLOUD Act),nei,2026-06-29
Selbu,Kommuner,US_MICROSOFT,United States (CLOUD Act),nei,2026-06-29
Seljord,Kommuner,US_MICROSOFT,United States (CLOUD Act),ja,2026-06-29
Senja,Kommuner,US_MICROSOFT,United States (CLOUD Act),nei,2026-06-29
Sigdal,Kommuner,US_MICROSOFT,United States (CLOUD Act),nei,2026-06-29
Siljan,Kommuner,US_MICROSOFT,United States (CLOUD Act),nei,2026-06-29
Sirdal,Kommuner,US_MICROSOFT,United States (CLOUD Act),nei,2026-06-29
Skaun,Kommuner,US_MICROSOFT,United States (CLOUD Act),ja,2026-06-29
Skien,Kommuner,US_MICROSOFT,United States (CLOUD Act),nei,2026-06-29
Skiptvet kommune,Kommuner,US_MICROSOFT,United States (CLOUD Act),nei,2026-06-29
Skjervøy,Kommuner,US_MICROSOFT,United States (CLOUD Act),nei,2026-06-29
Skjåk,Kommuner,US_MICROSOFT,United States (CLOUD Act),nei,2026-06-29
Smøla,Kommuner,US_MICROSOFT,United States (CLOUD Act),nei,2026-06-29
Snåsa,Kommuner,US_MICROSOFT,United States (CLOUD Act),nei,2026-06-29
Sogndal,Kommuner,US_MICROSOFT,United States (CLOUD Act),nei,2026-06-29
Sokndal,Kommuner,US_MICROSOFT,United States (CLOUD Act),nei,2026-06-29
Sola,Kommuner,US_MICROSOFT,United States (CLOUD Act),nei,2026-06-29
Solund,Kommuner,US_MICROSOFT,United States (CLOUD Act),nei,2026-06-29
Sortland,Kommuner,US_MICROSOFT,United States (CLOUD Act),nei,2026-06-29
Stad,Kommuner,US_MICROSOFT,United States (CLOUD Act),nei,2026-06-29
Stange,Kommuner,US_MICROSOFT,United States (CLOUD Act),nei,2026-06-29
Stavanger,Kommuner,US_MICROSOFT,United States (CLOUD Act),nei,2026-06-29
Steigen,Kommuner,US_MICROSOFT,United States (CLOUD Act),nei,2026-06-29
Steinkjer,Kommuner,US_MICROSOFT,United States (CLOUD Act),nei,2026-06-29
Stjørdal,Kommuner,US_MICROSOFT,United States (CLOUD Act),nei,2026-06-29
Stor-Elvdal,Kommuner,US_MICROSOFT,United States (CLOUD Act),nei,2026-06-29
Stord,Kommuner,US_MICROSOFT,United States (CLOUD Act),nei,2026-06-29
Storfjord,Kommuner,US_MICROSOFT,United States (CLOUD Act),nei,2026-06-29
Strand,Kommuner,US_MICROSOFT,United States (CLOUD Act),nei,2026-06-29
Stranda,Kommuner,US_MICROSOFT,United States (CLOUD Act),nei,2026-06-29
Stryn,Kommuner,US_MICROSOFT,United States (CLOUD Act),nei,2026-06-29
Sula,Kommuner,US_MICROSOFT,United States (CLOUD Act),ja,2026-06-29
Suldal,Kommuner,US_MICROSOFT,United States (CLOUD Act),nei,2026-06-29
Sunndal,Kommuner,US_MICROSOFT,United States (CLOUD Act),nei,2026-06-29
Sunnfjord,Kommuner,US_MICROSOFT,United States (CLOUD Act),nei,2026-06-29
Surnadal,Kommuner,US_MICROSOFT,United States (CLOUD Act),nei,2026-06-29
Sveio,Kommuner,US_MICROSOFT,United States (CLOUD Act),nei,2026-06-29
Sykkylven,Kommuner,US_MICROSOFT,United States (CLOUD Act),nei,2026-06-29
Sømna,Kommuner,US_MICROSOFT,United States (CLOUD Act),nei,2026-06-29
Søndre Land,Kommuner,US_MICROSOFT,United States (CLOUD Act),nei,2026-06-29
Sør-Aurdal,Kommuner,US_MICROSOFT,United States (CLOUD Act),nei,2026-06-29
Sør-Fron,Kommuner,US_MICROSOFT,United States (CLOUD Act),nei,2026-06-29
Sør-Odal,Kommuner,US_MICROSOFT,United States (CLOUD Act),nei,2026-06-29
Sør-Varanger,Kommuner,US_MICROSOFT,United States (CLOUD Act),nei,2026-06-29
Sørfold,Kommuner,US_MICROSOFT,United States (CLOUD Act),nei,2026-06-29
Sørreisa,Kommuner,US_MICROSOFT,United States (CLOUD Act),nei,2026-06-29
Tana,Kommuner,US_MICROSOFT,United States (CLOUD Act),nei,2026-06-29
Time,Kommuner,US_MICROSOFT,United States (CLOUD Act),nei,2026-06-29
Tingvoll,Kommuner,US_MICROSOFT,United States (CLOUD Act),nei,2026-06-29
Tinn,Kommuner,US_MICROSOFT,United States (CLOUD Act),nei,2026-06-29
Tjeldsund,Kommuner,US_MICROSOFT,United States (CLOUD Act),nei,2026-06-29
Tokke,Kommuner,US_MICROSOFT,United States (CLOUD Act),ja,2026-06-29
Tolga,Kommuner,US_MICROSOFT,United States (CLOUD Act),nei,2026-06-29
Tromsø,Kommuner,US_MICROSOFT,United States (CLOUD Act),nei,2026-06-29
Trysil,Kommuner,US_MICROSOFT,United States (CLOUD Act),nei,2026-06-29
Træna,Kommuner,US_MICROSOFT,United States (CLOUD Act),nei,2026-06-29
Tvedestrand,Kommuner,US_MICROSOFT,United States (CLOUD Act),nei,2026-06-29
Tydal,Kommuner,US_MICROSOFT,United States (CLOUD Act),nei,2026-06-29
Tynset,Kommuner,US_MICROSOFT,United States (CLOUD Act),nei,2026-06-29
Tysnes,Kommuner,US_MICROSOFT,United States (CLOUD Act),nei,2026-06-29
Tysvær,Kommuner,US_MICROSOFT,United States (CLOUD Act),nei,2026-06-29
Tønsberg,Kommuner,US_MICROSOFT,United States (CLOUD Act),nei,2026-06-29
Ullensaker,Kommuner,US_MICROSOFT,United States (CLOUD Act),nei,2026-06-29
Ulstein,Kommuner,US_MICROSOFT,United States (CLOUD Act),ja,2026-06-29
Ulvik kommune,Kommuner,US_MICROSOFT,United States (CLOUD Act),nei,2026-06-29
Utsira,Kommuner,US_MICROSOFT,United States (CLOUD Act),nei,2026-06-29
Vadsø,Kommuner,US_MICROSOFT,United States (CLOUD Act),nei,2026-06-29
Vaksdal,Kommuner,US_MICROSOFT,United States (CLOUD Act),nei,2026-06-29
Valle,Kommuner,US_MICROSOFT,United States (CLOUD Act),nei,2026-06-29
Vang,Kommuner,US_MICROSOFT,United States (CLOUD Act),nei,2026-06-29
Vanylven,Kommuner,US_MICROSOFT,United States (CLOUD Act),nei,2026-06-29
Vardø,Kommuner,US_MICROSOFT,United States (CLOUD Act),nei,2026-06-29
Vefsn,Kommuner,US_MICROSOFT,United States (CLOUD Act),nei,2026-06-29
Vega,Kommuner,US_MICROSOFT,United States (CLOUD Act),nei,2026-06-29
